pl_name,discoverymethod,disc_year,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
"OGLE-2016-BLG-1227L b","Microlensing",2020,"1.3 m Warsaw University Telescope",,3.400000,13.900,1.240,250.00000,0.79000,0.512000,
"Kepler-276 c","Transit",2013,"0.95 m Kepler Telescope",31.88400000,0.199400,2.900,0.259,16.60000,0.05200,3.740000,5.63000000000e+02
"Kepler-829 b","Transit",2016,"0.95 m Kepler Telescope",6.88337562,0.067800,2.110,0.188,5.10000,0.01600,2.980000,8.57000000000e+02
"Kepler-477 b","Transit",2016,"0.95 m Kepler Telescope",11.11990653,0.091100,2.070,0.185,4.94000,0.01550,3.060000,6.49000000000e+02
"TOI-1260 c","Transit",2021,"0.1 m TESS Telescope",7.49313400,0.065700,2.760,0.246,13.20000,0.04153,3.450000,6.51000000000e+02
"HD 149143 b","Radial Velocity",2005,"1.93 m Telescope",4.07182000,0.053000,13.600,1.220,422.71390,1.33000,0.923000,
"HD 99492 b","Radial Velocity",2004,"10 m Keck I Telescope",17.05030000,0.120000,5.440,0.486,25.50000,0.08023,0.870000,
"nu Oph c","Radial Velocity",2012,"1.88 m Telescope",3180.60000000,5.829000,12.000,1.070,7838.32346,24.66200,24.900000,
"75 Cet b","Radial Velocity",2012,"1.88 m Telescope",696.62000000,1.912000,13.300,1.180,787.89662,2.47900,1.840000,
"gam Lib b","Radial Velocity",2018,"1.88 m Telescope",414.88000000,1.319000,13.700,1.220,357.87479,1.12600,0.765000,
"HD 113337 c","Radial Velocity",2022,"Multiple Telescopes",5429.93477000,6.805000,12.100,1.080,6299.67686,19.82100,19.500000,
"HD 28109 c","Transit",2022,"0.1 m TESS Telescope",56.00819000,0.308000,4.230,0.377,7.94300,0.02499,0.577000,5.85200000000e+02
"HIP 12961 b","Radial Velocity",2010,"3.6 m ESO Telescope",57.43500000,0.250000,13.200,1.180,114.41880,0.36000,0.273000,
"HD 11755 b","Radial Velocity",2015,"1.8 m Telescope",433.70001000,1.090000,12.800,1.140,1789.38290,5.63000,4.690000,
"HD 29985 b","Radial Velocity",2022,"Multiple Telescopes",20608.14049000,13.390000,12.800,1.140,1739.47487,5.47300,4.560000,
"HD 115954 b","Radial Velocity",2021,"1.93 m Telescope",3700.00000000,5.000000,12.600,1.120,2685.65004,8.45000,7.380000,1.44900000000e+02
"HIP 97233 b","Radial Velocity",2014,"Multiple Telescopes",1062.26506000,2.491000,12.100,1.080,6098.17365,19.18700,18.900000,
"HD 95872 b","Radial Velocity",2015,"Multiple Telescopes",4375.00000000,5.150000,13.000,1.160,1188.68420,3.74000,2.970000,
"OGLE-2015-BLG-0966L b","Microlensing",2016,"1.3 m Warsaw University Telescope",,2.700000,4.860,0.433,21.00000,0.06600,1.010000,
"Kepler-435 b","Transit",2015,"0.95 m Kepler Telescope",8.60015360,0.094800,22.310,1.990,266.97000,0.84000,0.131000,1.72900000000e+03
"Teegarden's Star c","Radial Velocity",2019,"3.5 m telescope",11.41600000,0.045500,1.020,0.091,1.05000,0.00330,5.440000,2.09000000000e+02
"TOI-1470 b","Transit",2023,"0.1 m TESS Telescope",2.52709300,0.028500,2.180,0.194,7.32000,0.02303,3.860000,7.34000000000e+02
"HD 97658 b","Radial Velocity",2010,"10 m Keck I Telescope",9.48971160,0.080500,2.120,0.189,8.30000,0.02611,4.800000,7.51000000000e+02
"LTT 3780 b","Transit",2020,"0.1 m TESS Telescope",0.76837931,0.011950,1.325,0.118,2.46000,0.00774,5.800000,9.03000000000e+02
"TOI-5799 b","Transit",2024,"0.1 m TESS Telescope",4.16475300,0.035200,1.625,0.145,3.27000,0.01030,4.190000,5.18010000000e+02
"TOI-2068 b","Transit",2024,"0.1 m TESS Telescope",7.76891500,0.063200,1.821,0.162,3.97000,0.01250,3.610000,5.20620000000e+02
"TOI-2180 b","Transit",2022,"0.1 m TESS Telescope",260.79000000,0.828000,11.321,1.010,875.61726,2.75500,3.320000,3.48000000000e+02
"TOI-1899 b","Transit",2020,"0.1 m TESS Telescope",29.09031200,0.152500,11.097,0.990,212.94503,0.67000,0.850000,3.78000000000e+02
"HD 22946 d","Transit",2023,"0.1 m TESS Telescope",47.42489000,0.295800,2.607,0.233,26.57000,0.08360,10.800000,5.46000000000e+02
"Qatar-3 b","Transit",2017,"Canon 400mm f/2.8L",2.50792040,0.037830,12.285,1.096,1369.84730,4.31000,4.000000,1.68100000000e+03
"WASP-159 b","Transit",2018,"Canon 200mm f/1.8L",3.84040100,0.053800,15.468,1.380,174.80650,0.55000,0.280000,1.85000000000e+03
"WASP-7 b","Transit",2008,"Canon 200mm f/1.8L",4.95464160,0.061700,14.908,1.330,305.11680,0.96000,0.550000,1.48700000000e+03
"HD 219134 g","Radial Velocity",2015,"Multiple Telescopes",94.20000000,0.375300,3.280,0.293,10.80622,0.03400,1.680000,
"tau Cet e","Radial Velocity",2017,"Multiple Telescopes",162.87000000,0.538000,1.810,0.161,3.93000,0.01237,3.640000,
"K2-322 b","Transit",2020,"0.95 m Kepler Telescope",8.20500000,0.059400,1.920,0.171,4.35000,0.01370,3.380000,6.35000000000e+02
"K2-293 b","Transit",2019,"0.95 m Kepler Telescope",13.12250000,,2.450,0.219,6.57000,0.02070,2.450000,7.50000000000e+02
"K2-214 b","Transit",2018,"0.95 m Kepler Telescope",8.59680200,0.083400,2.430,0.217,6.48000,0.02040,2.480000,1.00600000000e+03
"K2-121 b","Transit",2017,"0.95 m Kepler Telescope",5.18575390,0.062900,7.520,0.671,44.10000,0.13900,0.570000,7.38000000000e+02
"K2-107 b","Transit",2017,"0.95 m Kepler Telescope",3.31395900,0.047500,15.980,1.426,266.97720,0.84000,0.350000,1.64900000000e+03
