sy_name,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
"MOA-2010-BLG-117L",0.58,,,,,,
"Kepler-914",,,,,,,
"HD 62509",2.59,,,1.612,2.52,,
"alf Cen",,,,,,,
"Kepler-79",1.18,,,,4.42,0.230,
"Kepler-1073",,,,,,,
"Kepler-91",,,,,2.85,,
"Kepler-1997",1.12,,,0.132,4.43,,1.3042
"Kepler-540",,,,,4.25,,
"Kepler-101",1.12,,,,4.40,,
"Kepler-1372",,,,,,,
"Kepler-1627",,-0.699,"[Fe/H]",,4.51,,
"Kepler-1152",0.55,,,,4.74,13.800,
"Kepler-1628",,,,,,,
"Kepler-495",0.94,,,-0.237,4.54,,2.0406
"OGLE-2018-BLG-0596L",0.23,,,,,,
"KMT-2021-BLG-0171L",0.78,,,,,,
"Kepler-978",1.12,,,,4.44,0.610,
"OGLE-2007-BLG-349L",0.41,,,,,,
"MOA-2019-BLG-008L",1.10,,,,,,
"Kepler-815",,,,0.857,,,
"OGLE-2012-BLG-0950L",0.54,,,,,,
"KMT-2021-BLG-1105L",1.17,,,,,,
"Kepler-1616",,,,,,,
"KMT-2021-BLG-1077L",0.14,,,,,,
"Kepler-967",,,,,4.70,,
"HIP 15799",,0.160,"[M/H]",,,,
"Kepler-1063",1.09,0.090,"[Fe/H]",,4.37,3.390,
"Kepler-710",,,,,,,
"Kepler-129",1.19,,,,4.24,4.090,
"HD 132563",,,,,,,
"Kepler-841",0.78,-0.460,"[Fe/H]",,4.62,,25.3686
"Kepler-184",,,,,4.51,,
"Kepler-141",,,,,,,
"Kepler-960",,,,,,,
"Kepler-1344",,,,,,,
"Kepler-947",,,,,,,
"HD 206610",,0.190,"[M/H]",,,,
"HD 208487",0.95,0.060,"[Fe/H]",,,8.150,
"Kepler-169",,,,,,,
"Kepler-1149",0.97,-0.140,"[Fe/H]",,4.54,,1.0818
"Kepler-1529",0.68,-0.440,"[Fe/H]",,4.57,,10.9565
"Kepler-1086",,,,,,,
"HD 66428",,,,,,,
"Kepler-711",,,,,4.61,,
